article_id,DOI,journal_name,title
2609,https://doi.org/10.1080/17437199.2010.545514,HEALTH PSYCHOLOGY REVIEW,"A medical issue affecting the diagnosis of mood, attention and autistic disorders: a closer look at celiac disease and gluten sensitivity"
4069,https://doi.org/10.1080/13803395.2011.651102,JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY,The influence of demographic factors on functional capacity and everyday functional outcomes in schizophrenia
2369,https://doi.org/10.1037/a0026487,PSYCHOLOGICAL TRAUMA-THEORY RESEARCH PRACTICE AND POLICY,A Survey of Practices and Recommended Treatment Interventions Among Expert Therapists Treating Patients With Dissociative Identity Disorder and Dissociative Disorder Not Otherwise Specified
5273,https://doi.org/10.1177/1359105311412839,JOURNAL OF HEALTH PSYCHOLOGY,"A Qualitative Study of Earplug Use as a Health Behavior: The Role of Noise Injury Symptoms, Self-efficacy and an Affinity for Music"
1098,https://doi.org/10.1080/02791072.2012.718653,JOURNAL OF PSYCHOACTIVE DRUGS,Process-of-Care Measures as Predictors of Client Outcome Among a Methamphetamine-Dependent Sample at 12-and 36-Month Follow-ups
1252,https://doi.org/10.1177/1359105311427474,JOURNAL OF HEALTH PSYCHOLOGY,Psychological symptoms and blood pressure among rural-dwellers
634,https://doi.org/10.1007/s11469-010-9308-z,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,"Schizophrenia and Crime: How Predictable Are Charges, Convictions and Violence?"
2097,https://doi.org/10.1007/s12529-011-9177-2,INTERNATIONAL JOURNAL OF BEHAVIORAL MEDICINE,Associated Trends in Sedentary Behavior and BMI Among Chinese School Children and Adolescents in Seven Diverse Chinese Provinces
5248,https://doi.org/10.4088/JCP.09m05580,JOURNAL OF CLINICAL PSYCHIATRY,"Assessment of Treatment Algorithms Including Amantadine, Metformin, and Zonisamide for the Prevention of Weight Gain With Olanzapine: A Randomized Controlled Open-Label Study"
5423,https://doi.org/10.1007/s10802-011-9565-8,JOURNAL OF ABNORMAL CHILD PSYCHOLOGY,Childhood Conduct Problems Are Associated with Increased Partnership and Parenting Difficulties in Adulthood
6168,https://doi.org/10.1037/a0025078,JOURNAL OF ABNORMAL PSYCHOLOGY,A Quasi-Experimental Analysis of the Influence of Neighborhood Disadvantage on Child and Adolescent Conduct Problems
3911,https://doi.org/10.1037/a0027018,HEALTH PSYCHOLOGY,Cancer Survivors' Responses to Daily Stressors: Implications for Quality of Life
356,https://doi.org/10.1037/a0025969,PERSONALITY DISORDERS-THEORY RESEARCH AND TREATMENT,Methodological Challenges in Identifying Parenting Behaviors as Potential Targets for Intervention: Commentary on Stepp et al. (2011)
5721,https://doi.org/10.1093/arclin/acr094,ARCHIVES OF CLINICAL NEUROPSYCHOLOGY,Effect of Acute Exercise on Executive Function in Children with Attention Deficit Hyperactivity Disorder
4261,https://doi.org/10.1002/da.21925,DEPRESSION AND ANXIETY,ELEVATED tph2 mRNA EXPRESSION IN A RAT MODEL OF CHRONIC ANXIETY
6766,https://doi.org/10.1080/09084282.2011.643957,APPLIED NEUROPSYCHOLOGY-ADULT,The Role of Experimentation in the Daily Practice of Neuropsychological Assessment: Advantages and Disadvantages
6554,https://doi.org/10.1080/01933922.2011.606557,JOURNAL FOR SPECIALISTS IN GROUP WORK,Quit Now! A Psychoeducational Expressive Therapy Group Work Approach for At-Risk and Delinquent Adolescent Smokers in Singapore
3954,https://doi.org/10.1016/j.jbtep.2011.12.009,JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY,Underlying mechanisms of verbal memory deficits in obsessive-compulsive disorder and major depression-The role of cognitive self-consciousness
1903,https://doi.org/10.1016/j.jsat.2011.12.013,JOURNAL OF SUBSTANCE ABUSE TREATMENT,The role of therapeutic alliance in substance use disorder treatment for young adults
899,https://doi.org/10.3109/09638237.2012.710765,JOURNAL OF MENTAL HEALTH,Subjective judgements of perceived recovery from psychosis
4697,https://doi.org/10.1080/10503307.2011.616237,PSYCHOTHERAPY RESEARCH,Defining response and remission in psychotherapy research: A comparison of the RCI and the method of percent improvement
5403,https://doi.org/10.1007/s10862-011-9256-3,JOURNAL OF PSYCHOPATHOLOGY AND BEHAVIORAL ASSESSMENT,A Chinese Adaptation of the Distress Tolerance Scale among Adolescents: Factor Structure and Psychometric Properties
932,https://doi.org/10.1177/0002764212463357,AMERICAN BEHAVIORAL SCIENTIST,The Polarized American: Views on Humanity and the Sources of Hyper-Partisanship
997,https://doi.org/10.1016/j.addbeh.2012.06.019,ADDICTIVE BEHAVIORS,The role of environmental smoking in smoking-related cognitions and susceptibility to smoking in never-smoking 9-12 year-old children
2015,https://doi.org/10.1037/a0028901,JOURNAL OF FAMILY PSYCHOLOGY,"Socioeconomic Status Moderates Associations Among Stressful Events, Mental Health, and Relationship Satisfaction"
4717,https://doi.org/10.1080/13554794.2011.556127,NEUROCASE,Ultra-fast recovery from right neglect after 'awake surgery' for slow-growing tumor invading the left parietal area
5637,https://doi.org/10.1007/s10942-010-0123-z,JOURNAL OF RATIONAL-EMOTIVE AND COGNITIVE-BEHAVIOR THERAPY,The Perceived Credibility of Two Rational Emotive Behavior Therapy Rationales for the Treatment of Academic Procrastination
4002,https://doi.org/10.1037/a0027972,NEUROPSYCHOLOGY,Individual Variability in Speed of Information Processing: An Index of Cognitive Impairment in Multiple Sclerosis
860,https://doi.org/10.1007/s11089-011-0366-3,PASTORAL PSYCHOLOGY,Method Decisions: Quantitative and Qualitative Inquiry in the Study of Religious Phenomena
3944,https://doi.org/10.1007/s10508-011-9812-7,ARCHIVES OF SEXUAL BEHAVIOR,Compulsive Masturbation and Chronic Penile Lymphedema
259,https://doi.org/10.1007/s11469-012-9378-1,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,Two Sides of the Same Coin: Cannabis Dependence and Mental Health Problems in Help-Seeking Adolescent and Young Adult Outpatients
5434,https://doi.org/10.1177/0093854811433759,CRIMINAL JUSTICE AND BEHAVIOR,TREATING ALCOHOL-RELATED VIOLENCE Intermediate Outcomes in a Feasibility Study for a Randomized Controlled Trial in Prisons
481,https://doi.org/10.1080/13803395.2012.711812,JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY,Right hippocampal pathology inhibits the Flynn effect in temporal lobe epilepsy
5418,https://doi.org/10.1017/S1352465811000646,BEHAVIOURAL AND COGNITIVE PSYCHOTHERAPY,Chronic Pain in Older Adults: A Controlled Pilot Trial of a Brief Cognitive-Behavioural Group Treatment
2072,https://doi.org/10.1177/1359105311423861,JOURNAL OF HEALTH PSYCHOLOGY,Exercise and social support are associated with psychological distress outcomes in a population of community-dwelling older adults
299,https://doi.org/10.1037/a0030423,JOURNAL OF FAMILY PSYCHOLOGY,Parent and Child Fluency in a Common Language: Implications for the Parent-Child Relationship and Later Academic Success in Mexican American Families
3983,https://doi.org/10.1007/s10484-011-9171-0,APPLIED PSYCHOPHYSIOLOGY AND BIOFEEDBACK,"The P300-Based, Complex Trial Protocol for Concealed Information Detection Resists Any Number of Sequential Countermeasures Against Up to Five Irrelevant Stimuli"
2454,https://doi.org/10.1177/1359105311427476,JOURNAL OF HEALTH PSYCHOLOGY,"Tanning behaviors and determinants of solarium use among indoor office workers in Queensland, Australia"
6458,https://doi.org/10.1080/15401383.2012.660129,JOURNAL OF CREATIVITY IN MENTAL HEALTH,Using Cinema and Literature to Explore Existentialism
3720,https://doi.org/10.1007/s12671-011-0082-1,MINDFULNESS,Development and Validation of the Japanese Version of the Five Facet Mindfulness Questionnaire
5412,https://doi.org/10.1177/0145445511427770,BEHAVIOR MODIFICATION,A Pilot Study Examining the Initial Effectiveness of a Brief Acceptance-Based Behavior Therapy for Modifying Diet and Physical Activity Among Cardiac Patients
836,https://doi.org/10.1007/s12207-012-9136-5,PSYCHOLOGICAL INJURY & LAW,What Is All The Fuss About <i>Daubert</i>?: A Re-Analysis
982,https://doi.org/10.1016/j.jsat.2012.07.011,JOURNAL OF SUBSTANCE ABUSE TREATMENT,Brief versus extended counseling along with buprenorphine/naloxone for HIV-infected opioid dependent patients
