article_id,DOI,journal_name,title
10801,https://doi.org/10.1007/s10508-023-02762-9,ARCHIVES OF SEXUAL BEHAVIOR,A Latent Profile Analysis of Greek University Students' Sexting Profiles: Associations with Big Five Personality Traits
12261,https://doi.org/10.1007/s10802-023-01121-5,RESEARCH ON CHILD AND ADOLESCENT PSYCHOPATHOLOGY,"Social Interactions in Everyday Life of Socially Anxious Adolescents: Effects on Mental State, Anxiety, and Depression"
2369,https://doi.org/10.1037/abn0000934,JOURNAL OF PSYCHOPATHOLOGY AND CLINICAL SCIENCE,Examining Patterns of Family Resilience and Neighborhood Cohesion as Moderators of the Effects of Adverse Childhood Experiences on the Mental Health of Black Adolescents
5273,https://doi.org/10.1007/s10896-024-00721-z,JOURNAL OF FAMILY VIOLENCE,Applying a Socio-Ecological Model to Understanding the Needs of Children and Young People Bereaved by Intimate Partner Homicide across their Life Course
9290,https://doi.org/10.1007/s10508-024-02829-1,ARCHIVES OF SEXUAL BEHAVIOR,The Psychology of Kink: A Cross-Sectional Survey Investigating the Association Between Adult Attachment Style and BDSM-Related Identity Choice in China
1252,https://doi.org/10.1080/07317107.2024.2433981,CHILD & FAMILY BEHAVIOR THERAPY,"A Multifaceted Intervention Designed for Chinese Migrant Families Involving Educational Philosophy, Parenting Style, and Parent-Child Relationships: A Pilot Study"
8826,https://doi.org/10.1007/s10508-024-02830-8,ARCHIVES OF SEXUAL BEHAVIOR,Validation of the Sexual Discounting Task for Use in Adolescents
10289,https://doi.org/10.1037/ccp0000869,JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,A Group-Based Transdiagnostic Sleep and Circadian Treatment for Major Depressive Disorder: A Randomized Controlled Trial
13440,https://doi.org/10.1080/00224499.2023.2201255,JOURNAL OF SEX RESEARCH,Pornography Use and Mental Health Problems in the Chinese Population: Examining the Pornography Problems Due to Moral Incongruence Model
13615,https://doi.org/10.1080/02791072.2023.2191610,JOURNAL OF PSYCHOACTIVE DRUGS,An Analysis of Benzodiazepine Prescribing to Primary Care Patients in a Large Healthcare System from 2019-2020
14360,https://doi.org/10.1080/01926187.2022.2089404,AMERICAN JOURNAL OF FAMILY THERAPY,Marital Communication as Moderators of the Relationship between Marital Conflict Resolution and Marital Satisfaction
12103,https://doi.org/10.1080/13854046.2023.2267789,CLINICAL NEUROPSYCHOLOGIST,Huntington study group's neuropsychology working group position on best practice recommendations for the clinical neuropsychological evaluation of patients with Huntington disease
356,https://doi.org/10.1037/vio0000552,PSYCHOLOGY OF VIOLENCE,Longitudinal Reciprocal Associations Between Internalizing Symptoms and Child-to-Parent Violence in Adolescents: The Role of Cognitive Mechanisms
13913,https://doi.org/10.1007/s11469-022-00986-9,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,Developments and Changes in Primary Public Health Outcome Indicators Associated with the Legalization of Non-Medical Cannabis Use and Supply in Canada (2018): A Comprehensive Overview
12453,https://doi.org/10.1002/erv.3031,EUROPEAN EATING DISORDERS REVIEW,Traditional versus virtual partial hospital programme for eating disorders: Feasibility and preliminary comparison of effects
7700,https://doi.org/10.1177/00027642241246691,AMERICAN BEHAVIORAL SCIENTIST,Tasting the Soil and Mobilizing the Future: Pedagogies of Hope in Timor-Leste's Permaculture Youth Camps
3954,https://doi.org/10.1016/j.josat.2024.209474,JOURNAL OF SUBSTANCE USE & ADDICTION TREATMENT,Evidence-based treatment for opioid use disorder is widely unavailable and often discouraged by providers of residential substance use services in North Carolina
10095,https://doi.org/10.1037/neu0000946,NEUROPSYCHOLOGY,Effect of Multiple Sclerosis and Aging on Prospective Memory Using the Ecological Test of Prospective Memory
9091,https://doi.org/10.1080/00223891.2024.2316236,JOURNAL OF PERSONALITY ASSESSMENT,<i>He Who Seeks Finds</i> (Bodily Signals): German Validation of the Interoceptive Attention Scale (IATS) and its Relationship with Subclinical Psychopathology
12889,https://doi.org/10.1007/s12671-023-02141-4,MINDFULNESS,Exploration of Evolution-Informed Compassion-Focused Therapy and Buddhist Approaches to Insight Meditation: A Three-Way Exploration
5403,https://doi.org/10.1177/00027642241259789,AMERICAN BEHAVIORAL SCIENTIST,"Patriarchal ""Love School"": Entrepreneurial Heroic Masculinity and Neoliberalism in A Pentecostal Church in London"
932,https://doi.org/10.1080/21642850.2024.2434711,HEALTH PSYCHOLOGY AND BEHAVIORAL MEDICINE,Promoting a foundation of resilience in older adults: pilot trial of a strengths-based positive psychology intervention for chronic low back pain
9189,https://doi.org/10.1080/26895269.2024.2324100,INTERNATIONAL JOURNAL OF TRANSGENDER HEALTH,From euphoria to wellbeing: Correlates of gender euphoria and its association with mental wellbeing among transgender adults
10207,https://doi.org/10.1080/14681994.2024.2308055,SEXUAL AND RELATIONSHIP THERAPY,To do or not to do: a study about sexual fantasies in an Italian sample
12909,https://doi.org/10.1080/15299732.2023.2231928,JOURNAL OF TRAUMA & DISSOCIATION,Is dissociation a fundamental component of ICD-11 Complex Posttraumatic Stress Disorder?
5637,https://doi.org/10.1080/26895269.2024.2362304,INTERNATIONAL JOURNAL OF TRANSGENDER HEALTH,Biological and psychosocial evidence in the Cass Review: a critical commentary
4002,https://doi.org/10.32872/cpe.12001,CLINICAL PSYCHOLOGY IN EUROPE,Development and Psychometric Evaluation of the Hope in Medicine Scale
9052,https://doi.org/10.1089/trgh.2021.0180,TRANSGENDER HEALTH,"Factors Associated with HIV Pre-Exposure Prophylaxis Use Among Transmasculine People Who Have Sex with Cisgender Men, at a Federally Qualified Health Center in Chicago, Illinois"
12136,https://doi.org/10.1007/s10508-023-02709-0,ARCHIVES OF SEXUAL BEHAVIOR,Sex Work and Educational Mobility: Results from the National Longitudinal Study of Adolescent to Adult Health
259,https://doi.org/10.1016/j.mhpa.2024.100663,MENTAL HEALTH AND PHYSICAL ACTIVITY,Barriers and facilitators to increasing physical activity in medium secure mental health settings: An exploration of staff perceptions
5434,https://doi.org/10.1177/10790632241268478,SEXUAL ABUSE-A JOURNAL OF RESEARCH AND TREATMENT,"Explaining the Unexplainable: Balancing Responsibility, Expectations, and Identity in Narratives of Sexual Recidivism"
481,https://doi.org/10.1037/abn0000907,JOURNAL OF PSYCHOPATHOLOGY AND CLINICAL SCIENCE,Shared Principles for Disentangling Heterogeneity in Neuroscience and Psychopathology
13610,https://doi.org/10.1177/00027642231156779,AMERICAN BEHAVIORAL SCIENTIST,The COVID-19 Pandemic and E-Learning: The Digital Divide and Educational Crises in Pakistan's Universities
10264,https://doi.org/10.1016/j.bodyim.2023.101670,BODY IMAGE,"Australian elite sport coaches' mental health literacy of eating disorders, orthorexia, and muscle dysmorphia in athletes: A qualitative study"
7326,https://doi.org/10.1016/j.jcbs.2024.100735,JOURNAL OF CONTEXTUAL BEHAVIORAL SCIENCE,Perspective taking reduces the correspondence bias: A systematically replication of Hooper et al. (2015)
8491,https://doi.org/10.1002/capr.12755,COUNSELLING & PSYCHOTHERAPY RESEARCH,Gendered capital in psychotherapy: A thematic analysis of patients&apos; experiences of the therapists&apos; gender
12175,https://doi.org/10.1111/papt.12503,PSYCHOLOGY AND PSYCHOTHERAPY-THEORY RESEARCH AND PRACTICE,Pathways from childhood trauma to aberrant salience: A structural equation approach to mentalization model
2454,https://doi.org/10.1080/21642850.2024.2416505,HEALTH PSYCHOLOGY AND BEHAVIORAL MEDICINE,"Look, over there! A streaker! - Qualitative study examining streaking as a behaviour change technique for habit formation in recreational runners"
11912,https://doi.org/10.1002/eat.24074,INTERNATIONAL JOURNAL OF EATING DISORDERS,Pro-anorexia coaches prey on individuals with eating disorders
13604,https://doi.org/10.1080/10503307.2023.2189028,PSYCHOTHERAPY RESEARCH,Pretreatment insight as a predictor of alliance strengthening in supportive vs. supportive-expressive treatment
9028,https://doi.org/10.1002/eat.24194,INTERNATIONAL JOURNAL OF EATING DISORDERS,Examining associations between disordered eating and harmful substance use in a nationally representative sample of US veterans
9174,https://doi.org/10.1017/S0033291724000059,PSYCHOLOGICAL MEDICINE,External cues improve visual working memory encoding in the presence of salient distractors in schizophrenia
14482,https://doi.org/10.1080/23279095.2022.2041018,APPLIED NEUROPSYCHOLOGY-ADULT,Different MMSE domains are associated to cognitive decline and education
7789,https://doi.org/10.1007/s10865-024-00489-z,JOURNAL OF BEHAVIORAL MEDICINE,"Diet and physical activity behaviors: how are they related to illness perceptions, coping, and health-related quality of life in young people with hereditary cancer syndromes?"
5468,https://doi.org/10.2147/PRBM.S464335,PSYCHOLOGY RESEARCH AND BEHAVIOR MANAGEMENT,Psychometric Properties of Scales Assessing Psychosocial Determinants of Staff Compliance with Surgical Site Infection Prevention: The WACH-Study
6341,https://doi.org/10.1007/s11469-024-01322-z,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,Prevalence of the Risk of Exercise Addiction Based on a New Classification: A Cross-Sectional Study in 15 Countries
9732,https://doi.org/10.1037/tra0001660,PSYCHOLOGICAL TRAUMA-THEORY RESEARCH PRACTICE AND POLICY,Hardiness Predicts Mental Health Recovery During the COVID-19 Pandemic
2274,https://doi.org/10.1016/j.invent.2024.100780,INTERNET INTERVENTIONS-THE APPLICATION OF INFORMATION TECHNOLOGY IN MENTAL AND BEHAVIOURAL HEALTH,Effectiveness and prediction of treatment adherence to guided internet-based cognitive behavioral therapy for health anxiety: A cohort study in routine psychiatric care
2552,https://doi.org/10.1080/0075417X.2024.2412859,JOURNAL OF CHILD PSYCHOTHERAPY,What is the journey that follows our personal training analyses? Reflections on the post-analytic phase of development and some of the challenges of the modern NHS workplace
11619,https://doi.org/10.1080/00029157.2023.2264345,AMERICAN JOURNAL OF CLINICAL HYPNOSIS,Integrating mindful self-hypnosis with resistance training to reduce stress: a case study
11224,https://doi.org/10.1016/j.addbeh.2023.107914,ADDICTIVE BEHAVIORS,Further evidence for the bidimensionality of the components model of addiction: a reply to Amendola (2023)
727,https://doi.org/10.1080/15401383.2024.2439822,JOURNAL OF CREATIVITY IN MENTAL HEALTH,Black Lives are Beautiful: Countering Anti-Black Messaging Through PhotoVoice and Self-Help Reading
945,https://doi.org/10.1037/int0000349,JOURNAL OF PSYCHOTHERAPY INTEGRATION,A Three-Arm Randomized Controlled Trial to Evaluate the Efficacy and Feasibility of Mindful Compassion for Perfectionism in Reducing Perfectionistic Cognitions
